"id","Kichwa","Español","Kichwa2"
"74","Allparantikillka"," Escritura ","Qillqay"
"75","Allpashuyu"," Mapa ","Mapa"
"76","Allpashuyukamay"," Cartografía ","Mapa ruway"
"77","Allpawaklliyay"," Erosión ","Erosión nisqa"
"78","Allpawira"," Petróleo ","Petroleo nisqa"
"79","Allpawira- Wisisi"," Petróleo ","Petroleo nisqa"
"80","Allpawku"," Subterráneo ","Allpa ukupi"
"81","Allpañan"," Vía terrestre ","allpa ñan"
"82","Allpañutuchina"," Desterronar ","clod"
"83","Almut"," Almud 25 lib ","Almud 25 libras"
"84","Ama llulla"," Honestidad ","Honestidad"
"85","Amapuna"," Traer ","Apamuy"
"86","Amaru"," Serpiente ","Machaqway"
"87","Amawta"," Científico ","Cientifico"
"88","Amawta yachay"," Contenido científico ","contenido científico nisqamanta"
"89","Amawtay"," Ciencia ","Ciencia"
"90","Amañana"," Adaptar ","Matiy"
"91","Amañana- yacharina"," Adaptar ","Matiy"
"92","Amañarina"," Adaptarse ","Tinkuchiy"
"93","Amañariy"," Adaptación ","Adaptación"
"94","Amita"," sopa ","lawa"
"95","Ampana"," Bostezar ","Hanllapakuy"
"96","Amsa"," Opaco ","Opaco"
"97","Amsayana"," Ocultar el sol ","intita pakay"
"98","Amukay"," Suavidad ","Sumaq kay"
"99","Amulliy"," Poner algo en la boca ","simiman imatapas churay"
"100","Ana"," Lunar ","Ana"
"101","Anaku"," Falda ","Wali"
"102","Anchachilasa- ñawpa kawsakkuna"," Antepasados ","Awkikuna"
"103","Anchakuyay"," Pasión de vehemencia amorosa ","vehemente munakuyniyuq pasión"
"104","Anchallpa"," Globo Terráqueo ","Globo nisqa"
"105","Anchallpakamay"," Geopolítica ","Geopolítica nisqa"
"106","Anchayupay"," Importancia ","Importancia nisqa"
"107","Anchuchina"," Quitar- sustraer ","hurquy- qichuy"
"108","Anchuchiy"," Quitar ","Put off"
"109","Anchuna"," Irse de casa- moverse de sitio ","Wasimanta lluqsispa - maypipas astakuspa"
"110","Anchuriy"," retirarse ","qhipaman lluqsiy"
"111","Anchuy"," retirada ","ayqiy"
"112","Anka"," Gallinazo ","Gallinazo sutiyuq runa"
"113","Ankana"," Volar ","Chuspi"
"114","Ankas"," Azul ","Anqas"
"115","ANKAS TAPA WARA"," blue jean ","azul vaquero"
"116","Ankay"," ceremonial ","ceremonial nisqa"
"117","Ankichik"," Radio emisor ","transmisor nisqa radio"
"118","Ankiyachik"," Radio receptor ","radio chaskiq"
"119","Anku"," Vena- arteria ","vena- arteria"
"120","Ankuyana"," Marchitarse envecer ","ch’akiy"
"121","Anta"," Metal ","Anta"
"122","Antaki"," Plomo ","Kamachiy"
"123","Antakullki"," Monedas ","qullqikuna"
"124","Antanikik"," Computadora ","Computadora"
"125","Antanikik chaski"," Correo Electrónico ","Correo electrónico"
"126","Antapachachik"," Reloj mecánico ","Reloj mecánico"
"127","Antawa"," Coche- carro ","Carro"
"128","Antayari"," Radio ","Radio"
"129","Antayay"," Metalúrgico ","Metalúrgico nisqa"
"130","Antisuyu"," Región Amazónica ","Amazonas suyu"
"131","Apana"," Llevar ","Apay"
"132","Apanakuy"," Llevarse - relacionarse ","allinta kawsakuy - allinta kawsakuy"
"133","Apankara"," Cáncerenfermedad ","cáncer unquy"
"134","Apankura"," Cáncer signo ","cáncer unquypa señalnin"
"135","Aparikanta"," Medios de transporte ","Medios de transporte nisqa"
"136","Aparina"," Cargar ","Huntachiy"
"137","Apariykancha"," Medios de transporte ","Medios de transporte nisqa"
"138","Apay"," guiar- conducir ","pusaq- purichiy"
"139","Api"," colada- mazamorra ","colada- mazamorra"
"140","Apuk"," ancestros ","awkikuna"
"141","Apuk"," Líder-Autoridad ","Umalliq-Autoridad"
"142","Apukkuna"," Autoridades ","Kamachiqkuna"
"143","Apukkuna tantaripacha"," Período de integración ","Integración nisqa pacha"
"144","Apukkuna tantatripacha"," Período de Integración ","Periodo de Integración nisqa"
"145","Apuktukushka"," Emperador ","Emperador"
"146","Apunchik"," Dios ","Taytacha"
"147","Apunchikamay"," Religión ","Religion"
"148","Apunchikwasi"," Iglesia ","Iglesia"
"149","Apuskachak"," soberbio ","sumaqllaña"
"150","Apyayala"," Continente americano ","Hukllachasqa Amirika Suyukuna mama llaqta"
"151","Apyayalapi chawchuri rikurimanta"," Racismo en América ","racismo nisqa américa suyupi"
"152","apyu"," caballo ","caballo"
"153","Arawik"," Poeta ","Harawiq"
"154","Arena"," Thiyu / illul ","Thiyu/illul"
"155","Arina"," Estrenar ","musuqllaraq"
"156","Arinichina"," Convencer ","Uynichiy"
"157","Arinina"," Acceder- consentir ","Yaykuna- consentimiento"
"158","arininakuy"," acuerdo- tratado ","acuerdo-tratado nisqa"
"159","Arininakuy"," Acuerdos- Tratados ","Rimanakuykuna- Tratados"
"160","Arma"," ayñi ","ayñi"
"161","Armana"," Bañar ","Aywikuna"
"162","Ashanka"," Canasto ","Canasta"
"163","Ashankayrumpa"," Básquet ","Basquetbol nisqa"
"164","Ashnana"," Oler ","Muskiy"
"165","Ashtarina"," Mobilizarse- transportarse- moverse. ","Movilizar- transporte- kuyuchiy."
"166","Asichik"," hazmereír ","Asichiway"
"167","Asichisiki"," Chistoso ","Kusi"
"168","Asina"," Reír ","Asiy"
"169","Asinayay"," chistoso- que causa risa ","asichi- que causa asirikuy"
"170","Asipayak"," Burlón ","Asikuy"
"171","Aspi"," Guión ","Qillqa"
"172","Aspina"," rascar- subrayar- ","rasguño- subrayar- ."
"173","Atallpa"," Gallina ","Chiwchi"
"174","Atam"," Parásito- ","Parásito- ."
"175","Ataw"," Jóvez. ","Wayna."
"176","Atawchay"," Fortuna ","Killpu"
"177","Atawchayuk"," Afortunado ","Samiyuq"
"178","Atina"," Vencer ","Atipay"
"179","Atipay"," Conquista ","Conquista"
"180","Atiy"," Poder ","Atiy"
"181","Atsiyana"," Estornudar ","Estornudo"
"182","Atuk"," Lobo ","Lobo"
"183","Atukamay"," Industria ","Industria"
"184","Atukay"," Industria ","Industria"
"185","Atukayashka pukuy"," Producción industrial ","Producción industrial nisqa"
"186","Atyak"," Babosa ","Slug"
"187","Awaki"," Lunes ","Lunes"
"188","AWAKI puncha"," Lunes ","Lunes"
"189","Awana"," Tejer ","Away"
"190","Awayllamkay"," Obraje ","Ruway"
"191","Awika"," Variedad ","Tukuy rikchaq"
"192","Awka"," Militar- soldado ","militar- soldado"
"193","Awkakancha"," Ejército ","Maqana"
"194","Awkarik puncha"," Martes ","Martes"
"195","Awkaruna"," pagano ","pagano"
"196","Awkawasi"," Cuartel ","Cuartel"
"197","Awki"," Principe- noble ","Principe- noble"
"198","Aya Uma"," Personaje mitologico que lidera el inti raymi- materializacion de las energias de la Pacha Mama ","Personaje mitológico que dice la inti raymi- materialización de las energías de Pacha Mama"
"199","aycha"," carne ","aycha"
"200","Aycha / ukku"," Carne- cuerpo ","Aycha- cuerpo"
"201","Ayllu"," Familia ","Ayllu"
"202","Ayllu chariy"," Poseer familia ","kikin ayllu"
"203","Ayllu shuti"," Apellidos Antroponimio ","Apellidos Antroponimia"
"204","Ayllullanikipushak"," Monarquía ","Monarquía nisqa"
"205","Ayllumallki"," Arbol genealógico ","Ayllu sacha"
"206","Ayllunikiyashka"," Grados de afinidad ","grados de afinidad nisqa"
"207","Aymuray"," Mayo ","Mayo killa"
"208","AYMURAY killa"," Mayo ","Mayo killa"
"209","aynikuy"," Participación  ","Takarpu"
"210","Aynina"," Convivir ","Kuska kawsay"
"211","Ayninakuy"," Participativa ","participativo nisqa"
"212","Ayriwa"," Abril ","Abril killa"
"213","AYRIWA killa"," Abril ","Abril killa"
"214","Aysana"," Halar- cosechar ","aysay- cosecha"
"215","aysana"," Arrastrar ","Chutay"
"216","Ayñi"," arma ","arma"
"217","Añaki"," Bacteria ","Bacteria nisqa"
"218","Añanku"," Hormiga ","Ant"
"219","Añas"," Zorro ","Atuq"
"220","Añaw"," Virus ","Virus nisqa"
"221","Chachina"," Masticar ","Kamuy"
"222","Chakana"," Cruzar ","Chinpay"
"223","Chakariy- Mushukyay"," Cruzamiento ","Chimpay"
"224","Chakata tullu"," Clavícula ","Clavícula"
"225","Chakcha"," Alabanza ","Napaykuy"
"226","Chaki"," Pie ","Chaki"
"227","Chaki ruka"," Dedo del pie ","Chaki dedo"
"228","Chaki sillu"," Uña del dedo del pie ","Chaki uña"
"229","Chaki uku"," Planta del pie ","chaki suela"
"230","Chaki washa"," Talon ","Talón"
"231","Chakichina"," Secar ","Ch’akichiy"
"232","Chakina"," secar ","ch’akichiy"
"233","Chakishka"," seco ","chaki"
"234","Chakishkapacha"," Sequía ","Chaki pacha"
"235","Chakllamanyachi"," Paralelogramo ","Paralelogramo"
"236","Chaklli"," Quìmico ","Qumiku"
"237","Chakllisinchi"," Química ","Quimico"
"238","Chakra"," Sementera ","tarpuy"
"239","Chakrakamay"," Agricultura- agrícola ","Chakra- chakra llamkay"
"240","Chakrakamay- Allpa llankay"," Agricultura ","Allpa llamkay"
"241","Chakrana"," Cultivar ","Tarpuy"
"242","Chakrawiwakamay"," Agropecuaria ","Chakra llamk’ay"
"243","Chakru"," Mixto o combinado ","chaqrusqa utaq huñusqa"
"244","Chakruy"," Composición ","Allichay"
"245","Challay"," Rito ","Rito"
"246","Challay- Wilkay- hawkay"," Rito ","Rito"
"247","Challwa"," Pez ","Challlwa"
"248","Challwa kapina"," pescar ","challwakuy"
"249","Challwakamay"," Pesca- pesquera- ictiología ","Challwa- challwakuy- ichtiología"
"250","Chani"," Valor ","Chaniyuq"
"251","Chani – kuska"," Lugar turístico ","Punto turístico"
"252","Chanichina"," Valorar ","Munay"
"253","Chanikuna"," Datos ","Willakuy"
"254","Chanina"," Valorar ","Munay"
"255","Chaniyay"," Valencia ","Valencia llaqtapi"
"256","CHANIYUK"," Caro- de valor en dinero ","Chanin- qullqipaq chanin"
"257","Chanka"," Pierna ","Chanka"
"258","Chantasu"," Llama ","Qayay"
"259","Chapak"," Policía ","Policia"
"260","Chapak kamaypaktachi"," Intendencia de policía ","policía nisqa departamento"
"261","Chapak kamaypaktachi puhak"," Comando provincia de policía ","Comando de Policía Provincial nisqa"
"262","Chapak kamaypaktachi puhask"," Comando provincia de policía ","Comando de Policía Provincial nisqa"
"263","Chapana"," Vigilar ","Qhawariy"
"264","Chapuna"," mezclar ","chaqruy"
"265","Chapuri"," Composición  ","Allichay"
"266","Chapuriy"," Combinación ","Taqruy"
"267","Charik"," Rico ","Qullqisapa"
"268","Charikyana"," Enriquecer- ganar dinero- acumularse ","Qhapaqchay- qullqita tariy- huñuy"
"269","Charina"," Tener ","Tener"
"270","Charinayay"," Tesoro ","Pakasqa"
"271","Charirashka rumpa"," Balón Sostenido ","Sostenido Pelota"
"272","Charirashka yasiy"," Balón Sostenido ","Sostenido Pelota"
"273","Charishkata killkakamachiy"," Registro de la propiedad ","Kapuqkunamanta qillqachiy"
"274","Chashnalla"," Solamente asi o de esa manera. ","Kayhinata chayhinalla."
"275","CHASKA puncha"," Viernes ","Viernes"
"276","Chaska rikuchik"," Telescopio ","Telescopio nisqa"
"277","Chaskakancha"," Constelación ","Quyllurkuna"
"278","Chaskancha"," Constelación ","Quyllurkuna"
"279","CHASKI SHUYULLI"," Sello postal / Timbre postaL ","Sello Postal / Sello Postal"
"280","Chaskichik"," Recibo ","Chaskiy"
"281","Chaskik"," Relevo ","Hawkayay"
"282","CHASKILLI"," Buzón de correo / casillero de correo ","Correo caja / caja de correo"
"283","Chaskina"," Recibir ","Chaskiy"
"284","Chaskinancha"," Codominio ","codominio nisqa"
"285","Chawa"," Crudo ","Kinranpa"
"286","Chawar"," Cabuya- Penco ","Cabuya- Penco"
"287","Chawcha"," Delicado- fecundo- rápido de madurar ","Delicado- fertil- utqaylla puquy"
"288","Chawchuy"," Origen ","Qallariy"
"289","Chawpi"," Medio-mitad ","kuskan kuskan"
"290","Chawpi kawsaypacha makanakuy"," Guerra medieval ","Chawpi pacha awqanakuy"
"291","Chawpi pukcha"," Medio quintal ","kuskan quintal"
"292","Chawpi puncha"," Medio día ","Chawpi punchaw"
"293","Chawpi tuta"," Media noche ","Chawpi tuta"
"294","Chawpi wata"," Medio año ","Kuska wata"
"295","Chawpi yachay"," Segundo Nivel de Educación Media ","Iskay kaq Pata Chawpi Yachay"
"296","Chawpihanika"," Media fanega 120 lb ","Kuska chuspi 120 lbs."
"297","Chawpikakuna"," Medios ","Medios de comunicación nisqakuna"
"298","Chawpikuska"," Semirrecta ","kuskan chiqan"
"299","Chawpikutirik"," Media geométrica ","Promedio geométrico nisqa"
"300","Chawpina / rakina"," Partir ","ripuy"
"301","Chawpipampa"," Semiplano ","demiplano nisqa"
"302","Chawpisuyu"," Región central ","chawpi suyu"
"303","Chawpiyak"," Media aritmética ","Promedio aritmético nisqa"
"304","Chawpiyak chanikuna"," Medidas de tendencia central ","Medidas de tendencia central nisqa"
"305","Chawpiyamuk"," Mediana ","Mediana nisqa"
"306","Chawra"," Combustible ","Gasolina"
"307","Chayana"," Llegar ","Chayay"
"308","Chayllatak"," Sinónimo ","Sinónimo"
"309","Chayman"," Directo ","Suni siqi"
"310","Chayniyak"," Distancia ","Karu kaynin"
"311","Chaypikana"," Asistir ","Riy"
"312","Chayra"," Aun ","Todavía"
"313","Chayrak"," Todavia ","Chaywanpas"
"314","Chayrak ama"," Todavia no ","Manaraq"
"315","Chayshinaya"," Copia ","Copia"
"316","Chayshuk"," Otro- otra siguiente ","Huk- qatiqnin huk"
"317","Chayshuk kawsay"," Otra vida ","Huk kawsay"
"318","Chaysinaya"," Copia ","Copia"
"319","Chaytalla"," solamente ","sapallan"
"320","Chaytu"," Fantasma ","Manchachi"
"321","Chichuna"," Fecundar ","Abono"
"322","Chika"," Tamaño/ verdad ","sayay/ chiqap"
"323","Chikan"," Diferente/ raro/ estraño ","Diferente / extraño / extraño"
"324","Chikanchik iñu"," Punto aparte. ","Sapaq punto."
"325","Chikanchik iñu(W)"," Punto aparte ","sapaq punto"
"326","Chikanrakikyuk pakiyupaykuna"," Fracciones heterogéneas ","Fracciones heterogéneas nisqakuna"
"327","Chikanyana"," Diferenciar ","Diferenciar"
"328","Chikanyay"," Diferente o distinto ","hukniray utaq sapaq"
"329","Chikchichak"," coqueto/a ","coqueto"
"330","Chikchichay"," coquetear- coqueteo ","coquetear- coquetear"
"331","Chiknina"," Odiar ","Chiqniy"
"332","Chikta- shara"," partido- resquebrajado ","match- raqrasqa"
"333","Chiktana"," Partir- rajar la madera ","Rakiy- yanta rakiy"
"334","Chilina"," Naranja ","Naranja"
"335","Chillay"," Miércoles ","Miercoles"
"336","CHILLAY puncha"," Miércoles ","Miercoles"
"337","Chillka"," Chilca ","Chilca"
"338","Chimay"," Descubrir una adivinanza ","huk adivinanzata tariy"
"339","Chimiyana"," Surgir- emerger- germinar ","lluqsiy- lluqsiy- germinar"
"340","Chimlasay"," Bióxido de carbono ","dióxido de carbono nisqa"
"341","Chimpamanyaypurachi"," Seno ","Qasqu"
"342","Chimpamanyaypurachimuy"," Cosecante ","Cosecante nisqa"
"343","Chimpamanyaypuramunchi"," Cosecante ","Cosecante nisqa"
"344","Chimpamanyaypuranchi"," Seno ","Qasqu"
"345","Chimpana"," Cruzar ","Chinpay"
"346","Chimpanakuy"," Antónimo ","Antónimo"
"347","Chimpapurachi"," Relación ","Masichay"
"348","Chimpapuranakuna"," debatir ","debatinapaq"
"349","Chimpapuranakuy"," Debate ","Rimanakuy"
"350","Chimpapuraychiy"," Comparación o relacionamiento ","Tupachiy utaq tupanachiy"
"351","Chimpaykuchukuna"," Ángulo opuesto por el vértice  ","Chimpapi chimpa kuchu"
"352","Chinaku"," Homosexual- gay ","Homosexual- gay"
"353","Chinawakra"," Hembra- femenino para animales ","warmi- uywakunapaq warmi"
"354","Chinchaysuyu"," Norte ","Chincha"
"355","Chiniku"," Minuto ","Minuto"
"356","Chinilla"," Segundo ","Iskay ñiqi"
"357","Chinkana"," Perderse- desaparecer ","chinkay - chinkay"
"358","Chinkay"," Perder ","Chinkachiy"
"359","Chinlli"," Desayuno ","Tutapay mikuna"
"360","Chiri"," Frío ","Chiri"
"361","Chirikunuy"," Clima ","Llapiya"
"362","Chirimuya"," Chirimoya ","Manzana de natillas"
"363","Chirina"," Hacer frio ","Chiri kachkan"
"364","Chiriwrku"," paramo ","paramo"
"365","Chishi"," Tarde ","Unayay"
"366","Chita"," Chivo- cabra ","Cabra- chibra"
"367","Chiwila"," Piña ","Piña"
"368","Chucha"," Rapoza ","rapoza"
"369","chuchi"," pollo ","chiwchi"
"370","Chuchu"," Seno ","Qasqu"
"371","chuhama- churipakchuri"," Nieto ","Nieto"
"372","Chukchina"," recoger la sobra ","chay ch’usaqkunata hoqariy"
"373","Chukchu unkuy"," Paludismo ","Malaria unquy"
"374","Chukchuk"," Tembloroso ","Katkatataspa"
"375","Chukchuna"," temblar ","khatatatay"
"376","Chuki"," Mineral ","Mineral nisqa"
"377","Chukikamay"," Minera- minería ","Minería- qhuya"
"378","Chukillankay"," Mitas ","Mitas"
"379","Chukllu"," Choclo ","Sara"
"380","chukri"," herida ","kiri"
"381","Chukrichiy"," Herir ","Kiriy"
"382","Chukrina"," Lastimarse ","K’iriy"
"383","Chukrishka"," Herido/a ","k’irisqa"
"384","Chukriy"," Herir ","Kiriy"
"385","Chukriyku"," Ulcera ","Nanasqa"
"386","Chuku"," casco- celada ","casco- casco"
"387","Chukuri"," Comadreja ","Comadreja"
"388","Chullachishka kutinkutinchikyuk puchu"," Diferencia de exponentes impares ","Exponentes impar nisqakunaq chikan kaynin"
"389","Chullachishka yupay"," Número impar ","Impar yupay"
"390","Chullashka kimsamanyachi"," Triángulo escaleno ","Escaleno kimsa kuchu"
"391","Chullayashka yupay"," Número impar ","Impar yupay"
"392","Chullpi"," Chulpi ","Chulpi"
"393","Chumpi"," Faja ","Wad de facturas"
"394","Chumpiku"," Cinta ","Cinta"
"395","CHUNKA"," diez- 10 ","chunka- 10"
"396","CHUNKA SHUK"," once- 11 ","Chunka hukniyuq 11"
"397","Chunkachik hillay"," Material decimal ","chunkayuq material"
"398","Chunkachishka yupaychikakunata"," Representación polinómica del ","Representación polinomial de la"
"399","Chunkakri"," Décimo ","Chunka kaq"
"400","Chunkalli"," Decimal ","Chunkayuq"
"401","Chunkana"," Juego de azar ","Pukllay"
"402","Chunkayllichik"," Sistema decimal ","chunkayuq sistema"
"403","Chuntapalashka"," Embrujado ","Embrujado"
"404","Chupu"," Tumor ","Tumor"
"405","Churana"," Ropa- ponerse la ropa- llevar puesto ","Pacha- churakuy pacha- churakuy"
"406","CHURANAKUNA"," VESTIMENTA ","PACHAKUNA"
"407","Churi"," Hijo ","Churi"
"408","Churu"," Caracol ","Churu"
"409","Chushak"," Vacío ","Mana imayuq"
"410","Chushik"," Lechuza ","Tuku"
"411","CHUSKU"," cuatro- 4 ","tawa 4.1"
"412","CHUSKU CHUNKA"," cuarenta- 40 ","tawa chunka- 40"
"413","CHUSKU PATSAK"," cuatrocientos- 400 ","tawa pachak- 400"
"414","Chuskuchishka pampa"," Plano bidimensional Cartesiano ","Iskay tupuyuq plano cartesiano"
"415","Chuskumanyachi"," Cuadrilátero ","Tawa kuchuyuq"
"416","Chuspi"," Mosca ","Chuspi"
"417","Chutana"," halar ","chutay"
"418","Chutarik"," Elasticidad ","Elasticidad nisqa"
"419","Chutarina"," Estirarse- ponerse en el suelo ","Estiramiento - pampaman haykuy"
"420","Chuya"," Aguado ","Yakuyuq"
"421","Chuyaklla yaku"," Agua potable ","Upyana yaku"
"422","Chuyakllachina"," Potabilizar ","chuyanchana"
"423","Chuyakllachiy"," Potabilización ","Potabilización nisqa"
"424","Chuyayana"," Asear ","Pichay"
"425","Chuyayay"," Desinfección ","Desinfección nisqa"
"426","Chuyayay(GT)"," Aseo ","Ch’uya kay"
"427","Hachun"," Nuera- cuñada ","Ususin"
"428","Hallmana"," Desyerbar ","qura qichuy"
"429","Hampatu"," Rana ","Kayra"
"430","hampi"," curación- medicina ","hampi- hampi"
"431","HAMPIK IKAY"," Seguro Medico ","Seguro de salud nisqa"
"432","HAMPIKILLKALLI"," Receta Medica ","Receta nisqa"
"433","Hampina"," Curar ","Hanpi"
"434","Hampiwasi"," Centro de Salud- Hospital ","Centro de Salud- Hampina wasi"
"435","Hamuktana"," Entender ","Hamutay"
"436","Hamutana"," Comprender: ","Hapiy:"
"437","Hamutay"," Comprensión/ comprender ","hamut’ay/ hamut’ay"
"438","Hanika"," Fanega ","Bushel nisqa"
"439","Hankana"," Desequilibrar ","Desequilibrio"
"440","Hankay"," Desequilibrio ","Desequilibrio nisqa"
"441","Hantsa"," Páncreas ","Páncreas"
"442","Hapina"," coger- agarrar ","hap’iy- hap’iy"
"443","Haplla"," descomedido ","mana kamachikuq"
"444","Harkana"," Atrancar ","Siqi"
"445","Harkana- Kinchana"," Cercar ","Kancha"
"446","Harkarina"," Tolerancia ","Harkarina"
"447","Harkariy"," Atascarse ","Q’ipiy"
"448","Harkashka shimiki"," Sílabas trabadas. ","sílabas pegadas."
"449","Hatarikuna"," Manifestaciones ","manifestaciones nisqakuna"
"450","Hatariy"," Levantamiento ","Hoqariy"
"451","Hatun"," Grande ","Hatun"
"452","Hatun apuktukushka"," Señoríos ","señores nisqakuna"
"453","Hatun hallmay"," Aporque ","Hilling"
"454","Hatun hatun runa"," gigante ","aswan hatun"
"455","Hatun ishpa / isma"," Caca ","Aka"
"456","Hatun kahas"," Macizo montaña grande ","hatun urqu masi"
"457","Hatun kaksas"," Macizo montaña grande ","hatun urqu masi"
"458","Hatun mama"," Abuela ","Abuela"
"459","Hatun paktay"," Objetivo general ","Objetivo general nisqa"
"460","Hatun rikuchik"," Indicador general ","tukuypaq rikuchiq"
"461","Hatun wankurikuna"," Organizaciones nacionales ","suyu tantanakuykuna"
"462","Hatun yachay"," Tercer Nivel de Educación Superior ","Kimsa kaq Pata Hatun Yachay"
"463","Hatun yaya / hatun tayta"," Abuelo ","Abuelo"
"464","Hatuna"," Vender ","Rantikuy"
"465","HATUNA PAMPA"," Mercado ","Qatu"
"466","HATUNA WASILLI"," Kiosko- chiringuito ","Kiosco- bar de playa"
"467","Hatunkay"," Grandeza ","Hatun kay"
"468","Hatunkillka"," Mayúscula ","Hatun qillqa"
"469","Hatunkucha"," Mar ","Mama qucha"
"470","hatunyachanawasi"," Universidad ","Hatun yachay wasi"
"471","Hawa"," Arriba ","Hawa"
"472","Hawachiy"," alzar ","wichay"
"473","Hawahawalla"," Superficialmente ","Superficialmente"
"474","Hawakara"," Epidermis ","Epidermis nisqa"
"475","Hawakarak"," Epidermico- relativo a la epidermis ","epidérmico- perteneciente a la epidermis"
"476","Hawalla"," Superficial ","Superficial nisqa"
"477","Hawalla shimiki"," Sílaba simple. ","Sílaba simple."
"478","Hawallallpa"," Suelo ","Allpa"
"479","Hawapacha"," Espacio- cielo ","Espacio- hanaq pacha"
"480","Hawaykawsay"," Civilización ","Civilización nisqa"
"481","Hawchashka"," Ensalada ","Ensalada"
"482","Hayak"," Amargo- hiel- bilis ","Gallo de gallo amargo"
"483","HAYAK MUYU"," Pimienta ","Pimienta"
"484","HAYTAYPUKLLAY"," Futbol ","Futbol"
"485","Hayñi"," Derecho ","Kamachiy"
"486","Hikama"," Jícama ","Jicama"
